1;Бренди Александр;1;Автором напитка является бармен, работавший в 20-е годы в знаменитом американском подпольном баре «Speak Easy», в котором посетителями были члены высшего американского общества. По одной из неофициальных версий, коктейль был назван по имени известного литературного критика тех лет Александра Вуттока, любившего захаживать в бар именно ради этого коктейля. А уже в 1922 году рецептура «Александра» вошла в книгу Гарри МакКелхона «ABC Cocktails»;В шейкер со льдом налейте все компоненты. Тщательно встряхните и вылейте в охлажденную коктейльную рюмку мартини. Сверху посыпьте коктейль тертым мускатным орехом.;0;1;30;1;2;30;1;3;30;1
2;Американо;2;Данный коктейль придумал бармен Гаспар Кампари в 1860-х годах. Изначально он назывался «Милан-Торино», так как его ингредиенты были из Милана (биттер «Кампари») и из Турина (красный вермут «Punt e Mes»). Согласно слухам, в 1900 году Гаспар заметил у себя в баре группу американцев, радостно распивающих его коктейль. Дабы показать своё радушие и доброжелательность, бармен дал коктейлю новое название «Американо».;В бокал рокс со льдом добавьте кампари и красный сладкий вермут, с верху долейте содовую. Перемешайте и украсьте цедрой лимона и долькой апельсина.;0;4;30;1;5;30;1;6;30;1
3;Лицо Ангела;1;;Вылейте все компоненты в шейкер со льдом, тщательно встряхните и отфильтруйте в коктейльную рюмку мартини.;0;7;30;1;8;30;1;9;30;1
5;Бакарди коктейль;1;Согласно Washington Post, коктейль Бакарди возник в 1937 году, в конце эпохи сухого закона. Компания выпустила свой новый ром, и чтобы он стал более популярным, придумала коктейль, главным составляющим был этот ром.;Добавьте все компоненты в шейкер со льдом, хорошо встряхните и вылейте в коктейльную рюмку мартини.;0;12;45;1;11;20;1;13;10;1
6;Между простынями;1;Считается, что коктейль был создан в 1930-е годы Гарри Мак-Элхоуном (Harry MacElhone) в парижском баре Harry’s New York Bar и является производным от коктейля «Сайдкар». По другим версиям, коктейль придумали в 1921 году в лондонском отеле The Berkeley либо в парижском публичном доме, где его употребляли в качестве аперитива проститутки.;Хорошо взбейте в шейкере все компоненты и отфильтруйте в коктейльную рюмку мартини.;0;12;30;1;1;30;1;11;20;1
7;Казино;1;;Добавьте компоненты в шейкер со льдом, хорошо встряхните и вылейте в коктейльную рюмку мартини. Украсьте вишней мараскино (коктейльная вишня) и лимонной цедрой.;0;15;40;1;10;10;1;16;10;1;11;20;1
9;Дайкири;1;Принято считать, что коктейль придумал американский инженер, находившийся на Кубе во время войны с испанцами и давший ему название в честь пляжа Дайкири близ Сантьяго. Но тот, который действительно получил международную популярность, был создан Константином Рубалькаба Вертом (Constantino Rubalcaba Vert) в одном из самых известных баров в мире, «El Floridita La Habana». Этот бар, «колыбель дайкири», был открыт в 1817 году и стал известен благодаря писателю Эрнесту Хемингуэю, который бывал здесь регулярно.;Добавьте все компоненты в шейкер со льдом, хорошо встряхните и вылейте в коктейльную рюмку мартини. Украсить долькой лайма.;0;12;45;1;19;25;1;20;15;1
10;Дерби;1;;Взбейте в шейкере и отфильтруйте в коктейльную рюмку мартини. Украсьте листиками мяты.;0;7;60;1;21;2;1;22;2;1
11;Сухой мартини;1;Мартини был изобретён в Америке в 1870-х годах и получил широкое распространение в «позолоченный век». Коктейль впервые упомянут в руководствах для барменов в 1880-х годах.;В смесительный стакан со льдом добавьте все компоненты и тщательно перемешать барной ложкой. Отфильтруйте в коктейльную рюмку мартини. Украсьте оливкой и сбрызните маслами цедры лимона.;0;7;60;1;23;10;1
8;0;1;Коктейль появился до введения в США сухого закона и назван в честь филадельфийского мужского клуба, проводившего собрания в отеле Bellevue-Stratford. Наиболее ранняя публикация рецепта коктейля относится к 1917 году, когда его описание появилось в книге The Ideal Bartender Томаса Буллока.;Хорошо взбейте в шейкере все компоненты и отфильтруйте в коктейльную рюмку мартини.;0;7;45;1;17;15;1;11;20;1;18;1;8
4;Авиация;3;Коктейль авиация появился в 1911 году, однако официально годом рождения коктейля считается 1916. Уроженец Германии Энсслин работал в то время барменом отеля «Уоллик» (Wallick Hote) на Таймс-сквере в Нью-Йорке.;Взбейте в шейкере и отфильтруйте в коктейльную рюмку мартини.;1;7;30;1;1;2;3;11;10;1
